year	u5
01/1994	8
02/1994	7.9
03/1994	7.8
04/1994	7.7
05/1994	7.3
06/1994	7.3
07/1994	7.4
08/1994	7.3
09/1994	7.2
10/1994	7
11/1994	6.8
12/1994	6.7
01/1995	6.7
02/1995	6.6
03/1995	6.6
04/1995	6.8
05/1995	6.8
06/1995	6.7
07/1995	6.8
08/1995	6.8
09/1995	6.7
10/1995	6.7
11/1995	6.7
12/1995	6.7
01/1996	6.8
02/1996	6.7
03/1996	6.6
04/1996	6.7
05/1996	6.6
06/1996	6.5
07/1996	6.5
08/1996	6.2
09/1996	6.2
10/1996	6.2
11/1996	6.4
12/1996	6.4
01/1997	6.3
02/1997	6.2
03/1997	6.2
04/1997	6.1
05/1997	5.9
06/1997	6
07/1997	5.8
08/1997	5.8
09/1997	5.8
10/1997	5.6
11/1997	5.6
12/1997	5.7
01/1998	5.6
02/1998	5.5
03/1998	5.6
04/1998	5.2
05/1998	5.3
06/1998	5.4
07/1998	5.5
08/1998	5.4
09/1998	5.5
10/1998	5.4
11/1998	5.3
12/1998	5.2
01/1999	5.2
02/1999	5.2
03/1999	5
04/1999	5.2
05/1999	5
06/1999	5.1
07/1999	5.1
08/1999	5
09/1999	5
10/1999	5
11/1999	4.9
12/1999	4.8
01/2000	4.8
02/2000	4.9
03/2000	4.8
04/2000	4.7
05/2000	4.8
06/2000	4.7
07/2000	4.8
08/2000	4.8
09/2000	4.7
10/2000	4.6
11/2000	4.7
12/2000	4.7
01/2001	5
02/2001	5.1
03/2001	5
04/2001	5.1
05/2001	5.1
06/2001	5.3
07/2001	5.4
08/2001	5.8
09/2001	5.8
10/2001	6.3
11/2001	6.4
12/2001	6.6
01/2002	6.6
02/2002	6.5
03/2002	6.6
04/2002	6.9
05/2002	6.8
06/2002	6.7
07/2002	6.8
08/2002	6.7
09/2002	6.6
10/2002	6.6
11/2002	6.8
12/2002	6.9
01/2003	6.8
02/2003	6.9
03/2003	6.9
04/2003	7
05/2003	7.1
06/2003	7.2
07/2003	7.1
08/2003	7.1
09/2003	7.1
10/2003	7
11/2003	6.8
12/2003	6.6
01/2004	6.7
02/2004	6.6
03/2004	6.8
04/2004	6.6
05/2004	6.6
06/2004	6.6
07/2004	6.5
08/2004	6.4
09/2004	6.4
10/2004	6.5
11/2004	6.3
12/2004	6.3
01/2005	6.3
02/2005	6.4
03/2005	6.2
04/2005	6.1
05/2005	6.1
06/2005	6
07/2005	5.9
08/2005	5.9
09/2005	6
10/2005	5.9
11/2005	6
12/2005	5.9
01/2006	5.6
02/2006	5.6
03/2006	5.6
04/2006	5.6
05/2006	5.5
06/2006	5.6
07/2006	5.7
08/2006	5.7
09/2006	5.3
10/2006	5.3
11/2006	5.4
12/2006	5.2
01/2007	5.5
02/2007	5.4
03/2007	5.3
04/2007	5.4
05/2007	5.3
06/2007	5.4
07/2007	5.5
08/2007	5.5
09/2007	5.5
10/2007	5.6
11/2007	5.6
12/2007	5.8
01/2008	5.9
02/2008	5.8
03/2008	5.9
04/2008	5.9
05/2008	6.3
06/2008	6.5
07/2008	6.7
08/2008	7.1
09/2008	7.1
10/2008	7.5
11/2008	8
12/2008	8.4
01/2009	9
02/2009	9.5
03/2009	10
04/2009	10.2
05/2009	10.7
06/2009	10.7
07/2009	10.7
08/2009	10.9
